episode,n_labeled,accuracy,boundary_accuracy,true_risk_L,true_risk_U,true_risk_gap,abs_true_risk_gap,ipm,bound_slack,moment_gap_fro,seed
0,10,0.4697999954223633,0.14784400165081024,0.20171485841274261,0.5241135954856873,0.32239873707294464,0.32239873707294464,0.5111758361206055,0.18877709904766082,0.8444627523422241,42
1,20,0.4920380115509033,0.204367995262146,0.11916317790746689,0.5060327053070068,0.38686952739953995,0.38686952739953995,0.6748590409201973,0.2879895135206574,1.0536664724349976,42
2,30,0.6258599758148193,0.9987779855728149,0.10976012796163559,0.4505767822265625,0.3408166542649269,0.3408166542649269,0.5098406571053224,0.16902400284039554,0.8309576511383057,42
3,40,0.6258620023727417,0.9997400045394897,0.1879524439573288,0.45974624156951904,0.27179379761219025,0.27179379761219025,0.34604140058062516,0.07424760296843491,0.6168473362922668,42
4,50,0.625868022441864,0.9997580051422119,0.1908929944038391,0.4579133093357086,0.2670203149318695,0.2670203149318695,0.3611417724660952,0.09412145753422568,0.5446716547012329,42
5,60,0.6258320212364197,0.9996079802513123,0.20867644250392914,0.4698558747768402,0.26117943227291107,0.26117943227291107,0.2690739058102699,0.007894473537358837,0.48734310269355774,42
6,70,0.625872015953064,0.9998180270195007,0.21100419759750366,0.4543429911136627,0.24333879351615906,0.24333879351615906,0.3013860153240217,0.05804722180786265,0.4551047384738922,42
7,80,0.6258699893951416,0.9998019933700562,0.21737609803676605,0.4553120732307434,0.23793597519397736,0.23793597519397736,0.23738542234608034,-0.0005505528478970123,0.4353407025337219,42
8,90,0.557807981967926,0.47780200839042664,0.24908971786499023,0.45894473791122437,0.20985502004623413,0.20985502004623413,0.24749114313469894,0.03763612308846481,0.37895700335502625,42
9,100,0.5963959693908691,0.7453359961509705,0.27390795946121216,0.455314040184021,0.18140608072280884,0.18140608072280884,0.1947428470716524,0.013336766348843565,0.3325900435447693,42
10,110,0.5327579975128174,0.34120598435401917,0.3073972463607788,0.4837367832660675,0.1763395369052887,0.1763395369052887,0.20737864559656954,0.031039108691280848,0.2955443859100342,42
11,120,0.5521019697189331,0.44061601161956787,0.31430113315582275,0.46020108461380005,0.1458999514579773,0.1458999514579773,0.1567306178801039,0.0108306664221266,0.2647789716720581,42
12,130,0.5445510149002075,0.39633500576019287,0.33149459958076477,0.46417295932769775,0.13267835974693298,0.13267835974693298,0.15888810400170292,0.026209744254769934,0.23883682489395142,42
13,140,0.5423280000686646,0.3834019899368286,0.3464612364768982,0.4674924314022064,0.12103119492530823,0.12103119492530823,0.1317533376311386,0.010722142705830384,0.2167835682630539,42
14,150,0.5545740127563477,0.4567520022392273,0.3518172800540924,0.4595981538295746,0.10778087377548218,0.10778087377548218,0.1329369049829462,0.025156031207464014,0.19847837090492249,42
15,160,0.6056119799613953,0.8198339939117432,0.3574948310852051,0.4545040726661682,0.09700924158096313,0.09700924158096313,0.10221231493805863,0.005203073357095495,0.18198718130588531,42
16,170,0.6211000084877014,0.950082004070282,0.36448413133621216,0.45273950695991516,0.088255375623703,0.088255375623703,0.10680625191301145,0.018550876289308446,0.1670583039522171,42
17,180,0.6256799697875977,0.9965919852256775,0.3700576424598694,0.4506058692932129,0.0805482268333435,0.0805482268333435,0.08514314417389174,0.004594917340548232,0.15386377274990082,42
18,190,0.6254580020904541,0.993690013885498,0.37663376331329346,0.45101019740104675,0.0743764340877533,0.0743764340877533,0.07061239348125387,-0.0037640406064994303,0.1425696462392807,42
19,200,0.6258379817008972,0.9982979893684387,0.38136565685272217,0.45017898082733154,0.06881332397460938,0.06881332397460938,0.07228450315658766,0.0034711791819782845,0.13268612325191498,42
20,210,0.6258059740066528,0.9978259801864624,0.3712708353996277,0.45033398270606995,0.07906314730644226,0.07906314730644226,0.10584356375117332,0.02678041644473106,0.1508958339691162,42
