episode,n_labeled,n_unlabeled,accuracy,true_risk_gap,abs_true_risk_gap,ipm,bound_slack,moment_gap_fro,ld,fd,gc,seed
0,10,1000000,0.4698,0.322399,0.322399,0.47745,0.155052,0.844463,0.20003,0.150896,0.012308,42
1,20,999990,0.4916,0.386976,0.386976,0.672123,0.285146,1.054937,0.14997,0.147893,0.006154,42
2,30,999980,0.6259,0.340133,0.340133,0.51623,0.176097,0.827383,0.066697,0.145263,0.004103,42
3,40,999970,0.5381,0.301907,0.301907,0.334373,0.032465,0.628749,3e-05,0.018652,0.003077,42
4,50,999960,0.5368,0.329999,0.329999,0.200548,-0.129451,0.775433,0.10003,0.018073,0.002462,42
5,60,999950,0.5196,0.28606,0.28606,0.34414,0.05808,0.652027,0.033363,0.018042,0.001567,42
6,70,999940,0.6259,0.21848,0.21848,0.347631,0.129151,0.569894,0.014316,0.014124,0.001343,42
7,80,999930,0.6259,0.225764,0.225764,0.226287,0.000523,0.52849,0.02497,0.013286,0.001175,42
8,90,999920,0.6259,0.246893,0.246893,0.365326,0.118433,0.621292,0.033363,0.013281,0.001045,42
9,100,999910,0.6259,0.256559,0.256559,0.300407,0.043847,0.617664,0.01997,0.012968,0.00094,42
10,110,999900,0.6259,0.268815,0.268815,0.290057,0.021242,0.65158,0.063606,0.01278,0.000855,42
11,120,999890,0.6259,0.257883,0.257883,0.087591,-0.170293,0.601663,0.016637,0.012279,0.000574,42
12,130,999880,0.6259,0.238636,0.238636,0.241095,0.002459,0.557078,0.015415,0.012257,0.00053,42
13,140,999870,0.6259,0.250991,0.250991,0.33718,0.086189,0.612517,0.042887,0.012218,0.000492,42
14,150,999860,0.6259,0.261621,0.261621,0.303454,0.041833,0.660595,0.013363,0.012198,0.000459,42
15,160,999850,0.6259,0.265467,0.265467,0.319912,0.054445,0.654259,3e-05,0.012194,0.00043,42
16,170,999840,0.6259,0.251329,0.251329,0.329547,0.078218,0.617439,0.017617,0.012173,0.000405,42
17,180,999830,0.6259,0.252835,0.252835,0.261462,0.008627,0.604215,0.011141,0.012014,0.000383,42
18,190,999820,0.6259,0.261222,0.261222,0.327063,0.065841,0.642981,0.015759,0.011998,0.000362,42
19,200,999810,0.6259,0.268896,0.268896,0.321299,0.052403,0.678343,0.00503,0.011998,0.000344,42
20,210,999800,0.6259,0.263287,0.263287,0.30812,0.044834,0.656472,0.02384,0.01198,0.000328,42
